date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2024-01-30,476.51513671875,Range,0,-0.0,1000000.0,0.20174729266878821,0.04506174122331818,30.665354089042953,0.0,
2024-01-31,468.7396545410156,Range,0,0.0,1000000.0,-0.4551319934969589,0.03575220150905442,24.02219866578712,0.0,0.0
2024-02-01,474.8745422363281,Range,0,-0.0,1000000.0,0.034047788660359846,0.04435507888126567,26.661098005242025,0.0,0.0
2024-02-02,479.8737487792969,Range,0,-0.0,1000000.0,0.49360771272085463,0.040048323836366334,19.341630784768515,0.0,0.0
2024-02-05,478.1264953613281,Range,0,-0.0,1000000.0,0.3817175308678282,0.05099864407692181,18.38222062500364,0.0,0.0
2024-02-06,479.5146789550781,Range,0,-0.0,1000000.0,0.5981908869632504,0.04964616537766844,11.992029914222584,0.0,0.0
2024-02-07,483.513916015625,Range,0,-0.0,1000000.0,0.9768014880246996,0.007921293445412623,0.9237050887379921,0.0,0.0
2024-02-08,483.7275085449219,Range,0,0.0,1000000.0,-0.0444357702366312,0.0395433121734543,32.113334315768896,0.0,0.0
2024-02-09,486.523193359375,Range,0,-0.0,1000000.0,0.18017445628864848,0.041425111339047645,29.182575163627533,0.0,0.0
2024-02-12,486.3096008300781,Range,0,-0.0,1000000.0,0.1684135641572992,0.045550322359498734,26.71693511744454,0.0,0.0
2024-02-13,479.6116638183594,Range,0,0.0,1000000.0,-0.4386014192101451,0.03962034904631011,20.365180909157843,0.0,0.0
2024-02-14,483.9701843261719,Range,0,0.0,1000000.0,-0.07571188430755571,0.053043098208978255,20.971422429172524,0.0,0.0
2024-02-15,487.3094787597656,Range,0,-0.0,1000000.0,0.32476496825950457,0.060602747162229596,15.86396602479294,0.0,0.0
2024-02-16,484.8827209472656,Range,0,0.0,1000000.0,-0.0022083550359659476,0.09331746948400219,12.185541695168286,0.0,0.0
2024-02-20,482.21319580078125,Range,0,-0.0,1000000.0,0.21173901682651253,0.0350832997290107,30.926812921591534,0.0,0.0
2024-02-21,482.6500244140625,Range,0,-0.0,1000000.0,0.25322731389615827,0.037262350522031945,28.201833272735477,0.0,0.0
2024-02-22,492.6386413574219,Range,0,-0.0,1000000.0,0.7819429497204338,0.01722190672727857,12.965419594060597,0.0,0.0
2024-02-23,492.9783935546875,Range,0,-0.0,1000000.0,0.8385120935133985,0.015412089422816654,9.298384119400769,0.0,0.0
2024-02-26,491.1728820800781,Range,0,-0.0,1000000.0,0.8322391674354601,0.018262284222202944,8.256737093027356,0.0,0.0
2024-02-27,492.08538818359375,Range,0,-0.0,1000000.0,0.9298984004314366,0.01124568600843313,3.3914342255417727,0.0,0.0
2024-02-28,491.4350280761719,Range,0,-0.0,1000000.0,0.9848780874260357,0.004337829259023367,0.6456953050602475,0.0,0.0
2024-02-29,493.2016906738281,Range,0,0.0,1000000.0,-0.06329092323999724,0.031160987893312474,32.68994304763394,0.0,0.0
2024-03-01,497.8320007324219,Range,0,-0.0,1000000.0,0.257331131439855,0.035594300148067436,29.037611770101766,0.0,0.0
2024-03-04,497.2981262207031,Range,0,-0.0,1000000.0,0.24023339269927163,0.0410821330952624,26.66902138605408,0.0,0.0
2024-03-05,492.32806396484375,Range,0,0.0,1000000.0,-0.20930731280709414,0.045620031430193324,23.888993610152074,0.0,0.0
2024-03-06,494.82281494140625,Range,0,-0.0,1000000.0,0.015491939146430711,0.054590820574745076,21.534672204333834,0.0,0.0
2024-03-07,499.734619140625,Range,0,-0.0,1000000.0,0.57775935450969,0.046644877142426225,12.870816522043645,0.0,0.0
2024-03-08,496.735107421875,Range,0,-0.0,1000000.0,0.3264602873359035,0.08330702818679736,11.423345403386344,0.0,0.0
2024-03-11,496.3080139160156,Range,0,-0.0,1000000.0,0.14130735991808097,0.03384253319001187,32.48082291214687,0.0,0.0
2024-03-12,501.64691162109375,Range,0,-0.0,1000000.0,0.489793498540688,0.028763513310789558,24.86102670346285,0.0,0.0
2024-03-13,500.8606262207031,Range,0,-0.0,1000000.0,0.47261602271289904,0.03203236413122476,23.05030371393982,0.0,0.0
2024-03-14,499.87054443359375,Range,0,-0.0,1000000.0,0.4817474341223078,0.03932657830112403,20.392323554429964,0.0,0.0
